"REF_DATE","GEO","DGUID","Prices","Seasonal adjustment","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Statistical discrepancy","Dollars","81","millions","6","v62305751","1.1.1.29","595","","","","0"
"2019-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Statistical discrepancy","Dollars","81","millions","6","v62305751","1.1.1.29","551","","","","0"
"2020-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Statistical discrepancy","Dollars","81","millions","6","v62305751","1.1.1.29","-640","","","","0"
"2020-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Statistical discrepancy","Dollars","81","millions","6","v62305751","1.1.1.29","-1391","","","","0"
"2019-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Gross domestic product at market prices","Dollars","81","millions","6","v62305752","1.1.1.30","2092705","","","","0"
"2019-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Gross domestic product at market prices","Dollars","81","millions","6","v62305752","1.1.1.30","2098547","","","","0"
"2019-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Gross domestic product at market prices","Dollars","81","millions","6","v62305752","1.1.1.30","2101480","","","","0"
"2020-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Gross domestic product at market prices","Dollars","81","millions","6","v62305752","1.1.1.30","2057186","","","","0"
"2020-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Gross domestic product at market prices","Dollars","81","millions","6","v62305752","1.1.1.30","1820369","","","","0"
"2019-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final domestic demand","Dollars","81","millions","6","v62305753","1.1.1.31","2063517","","","","0"
"2019-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final domestic demand","Dollars","81","millions","6","v62305753","1.1.1.31","2079684","","","","0"
"2019-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final domestic demand","Dollars","81","millions","6","v62305753","1.1.1.31","2083767","","","","0"
